情感分数 = -19.865002	يېغىرىمنى=N=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=A=يوق تىلەمچى=A=تىلەمچى يوق=A=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -11.720001	ئېتىقاددىن=N=ئېتىقاد يىراقلىشىپ=V=يىراق ئۆزىمىزنى=P=ئۆز ساقلاپ=V=ساقلا قىلىشىمىز=V=قال بەكلا=D=بەك تەس=A=تەس قېرىنداش=N=قېرىنداش ،=V=، ھازىر=D=ھازىر يۈز=N=يۈز بىرىۋاتقان=N=بەر پاجىئەلەر=N=پاجىئە ،=N=، ئىتتىپاقسىزلىق=N=ئىتتىپاقسىز ،=N=، جىنايەت=N=جىنايەت ،=N=، گۇناھ=N=گۇناھ ئىشلارنىڭ=N=ئىش ھەممىسى=P=ھەممە ئىتىقادسىزلىقتىن=V=ئىتىقادسىز بولۇۋاتىدۇ=V=بول .=N=.
情感分数 = -11.435001	بەك=D=بەك سەت=A=سەت تويۇپ=V=توي كەتتىم=V=كەت قىزلىرىمىز=N=قىز ئۇنداق=P=ئۇنداق قىزلىرىمىز=N=قىز بۇنداق=P=بۇنداق دەيدىغان=V=دە سولامچىلاردىن=A=سولامچى
情感分数 = -11.43	ئۈرۈمچىدە=N=ئۈرۈمچى ،=N=، خوتەندە=N=خوتەن تاماكا=N=تاماكا چېكىپ=V=چەك ماڭغان=V=ماڭ ياش=N=ياش يىگىتلەرنى=N=يىگىت ،=N=، مەس=N=مەس دەلدەڭشىپ=V=دەلدەڭشە يۈرگەن=V=يۈر چوڭلارنى=A=چوڭلار كۆرمىگەنىدىم=V=كۆر ،=N=، تاماكىنى=N=تاماكا قىڭغىر=N=قىڭغىر چىشلەپ=V=چىشلە پۇرقىرىتىپ=N=پۇرقىرات خىيالىدا=N=خىيال يوق=A=يوق چېكىپ=V=چەك ماڭىدىغانلار=V=ماڭ ،=N=، نۇمۇس=N=نۇمۇس قىلماي=V=قىل ئاپتوبۇستا=N=ئاپتوبۇس ،=N=، ئاشخانىلاردا=N=ئاشخانا چېكىدىغانلار=V=چەك مۇشۇ=P=مۇشۇ شەلىك=N=شەلىك قەشقەلىقلەردىلا=N=قەشقەرلىك قالغان=V=قال ئوخشايدۇ=V=ئوخشا ،=N=، ئۇھ=N=ئۇھ !=N=!
情感分数 = -11.43	قان=N=قان ئازلىق=N=ئازلىق ۋە=R=ۋە تۆۋەن=A=تۆۋەن قان=N=قان بېسىمنىڭ=N=بېسىم دەستىدىن=N=دەستىدىن بېشىم=N=باش ئاغرىپ=V=ئاغرى تۇرىدۇ=V=تۇر
情感分数 = -11.360001	توۋا=N=توۋا دېگىم=N=دەگ باريۇ=N=باريۇ توۋا=N=توۋا دېيەلمىدىم=N=دېيەلمەد ،=N=، نىچۈن=N=نىچۈن دەپ=V=دە سورىغىم=V=سورا باريۇ=N=باريۇ سورىيالمىدىم=N=سورىيالماد ،=N=، خەيىر=N=خەيىر ئۆتۈپ=V=ئۆت كېتەر=V=كەت دېدىم=V=دە يۇ=N=يۇ ئۆتكۈزۋىتەلمىدىم=N=ئۆت ،=N=، ئىنسان=N=ئىنسان قەلبى=N=قەلب ئاجايىپ=A=ئاجايىپ نازۇك=A=نازۇك بولىدىكەن=V=بول يۇ=N=يۇ نۇرغۇنلىغان=A=نۇرغۇن ئادالەتسىزلىك=N=ئادالەتسىز ۋە=R=ۋە كۆڭۈلسىزلىكلەرگە=N=كۆڭۈلسىز بەرداشلىق=A=بەرداشلىق بېرىدىكەن=V=بەر .=N=.
情感分数 = -10.860001	قېنى=N=قان بۇزۇق=A=بۇزۇق ،=N=، تىگى=N=تىگ پەس=A=پەس ،=N=، ئەسلى=A=ئەسلى نىجىس=N=نىجىس يەنە=D=يەنە دەيدىغانكى=N=دە سۆزلەر=N=سۆز ،=N=، لەنەت=N=لەنەت بولسا=V=بول مۇشۇ=P=مۇشۇ بۇزۇقلارغا=V=بۇزۇق بولسۇن=V=بول
情感分数 = -10.860001	ئەمدى=D=ئەمدى كېلىپ=V=كەل دادامدەك=N=دادا بىر=M=بىر پاك=A=پاك ئىنساننى=N=ئىنسان خىيانەتچى=N=خىيانەتچى تۇزكورغا=N=تۇزكور چىقىرىشىپتۇ=N=چىقار ،=N=، غەزىپىم=N=غەزەپ چېكىگە=N=چەك يەتتى=V=يەت ،=N=، بىچارە=A=بىچارە دادام=N=دادا يىغلاپ=V=يىغلا تۇرۇپ=V=تۇر ماڭا=P=مەن بىر=M=بىر ئىش=N=ئىش بولسا=V=بول ئۇكىلىرىڭغا=N=ئۇكا ئوبدان=A=ئوبدان قارا=A=قارا دەپ=V=دە ۋەسىيەت=N=ۋەسىيەت قىلىپ=V=قىل يۈرىدۇ=V=يۈر ،=V=، خەپ=E=خەپ !=V=!
情感分数 = -10.860001	يىغلىسا=V=يىغلا ئىشەنمە=V=ئىشەن ،=N=، يىغلىشى=V=يىغلا يالغان=A=يالغان ،=N=، قەسەملەر=N=قەسەم ئىچىدۇ=V=ئىچى ،=N=، كۆپ=A=كۆپ كىشى=N=كىشى يالغان=A=يالغان رەزىللىككە=N=رەزىل ،=N=، پەسلىككە=N=پەس تولغان=V=تول بۇ=P=بۇ دۇنيادا=N=دۇنيا ئۆلۈمدىن=N=ئۆلۈم باشقىسىنىڭ=V=باشقا ھەممىسى=P=ھەممە يالغان=A=يالغان .=N=.
情感分数 = -10.43	ئىككى=M=ئىككى پارچە=Q=پارچە ئىنكاس=N=ئىنكاس يېزىپ=V=ياز بولغاندىن=V=بول كېيىن=D=كېيىن قېتىپلا=V=قات قالدى=V=قال ،=N=، يەنە=D=يەنە تېخى=D=تېخى ساندانغا=N=ساندان ئۇلانماي=N=ئۇلان قاپتۇ=V=قال ،=N=، ئۇھ=N=ئۇھ ،=N=، سەت=A=سەت زىرىكتىم=N=زېرىك
情感分数 = -10.43	كىىشلەر=N=كىىش تېزەكتىن=N=تېزەك يىرگىنىدىكەنۇ=V=يىرگىن بىراق=R=بىراق تېزەكتىن=N=تېزەك پەرقى=N=پەرق يوق=A=يوق تاماكىغا=N=تاماك ئوت=N=ئوت تۇتاشتۇرۇپ=V=تۇتاش چېكىشىدىكەن=N=چەك ،=N=، چوشقا=N=چوشقا گۆشىنى=N=گۆش يېمەيدىكەنۇ=V=يە بىراق=R=بىراق ئۇنىڭدىن=P=ئۇنىڭ بەتتەر=A=بەتتەر بولغان=V=بول ھاراقنى=N=ھاراق مەززە=N=مەززە قىلىپ=V=قىل ئىچىشىدىكەن=N=ئىچ ،=N=، تەتۈر=A=تەتۈر جاھاندە=N=جاھان .=N=.
情感分数 = -10.43	مانداق=P=مانداق فىلىملەرنى=V=فىلىم كۆرسەم=V=كۆر خەنزۇنىڭ=N=خەنزۇ ئەڭ=D=ئەڭ مەينەت=A=مەينەت ،=N=، ساپاسىز=N=ساپاسىز ،=N=، ئاڭسىز=A=ئاڭسىز ،=N=، مەدەنىيەتسىزلىرى=N=مەدەنىيەتسىز شىنجاڭدىمىكىن=N=شىنجاڭ دەپ=V=دە ئويلاپ=V=ئويلا قالىمەن=V=قال .=N=.
情感分数 = -10.43	بەك=D=بەك ئەسكى=A=ئەسكى گۇيكەن=N=گۇي ئا=N=ئا ئوغرى=N=ئوغرى ،=V=، ئۇنىڭ=P=ئۇنىڭ بىلەن=R=بىلەن مىللەتداش=N=مىللەت بولغىنىمدىن=N=بول نۇمۇس=N=نۇمۇس قىلىۋاتىمەن=V=قىل جۇمۇ=T=جۇمۇ
情感分数 = -10.360001	ماڭا=P=ماڭ نىسپەتەن=V=نىسپەتەن قىزىۋاتىدۇ=V=قىزى بۇ=P=بۇ مۇسابقە=N=مۇسابقە مەن=P=مەن ئەڭ=D=ئەڭ ئۆچ=A=ئۆچ ئىسپانىيە=N=ئىسپانىيە يوقالدى=V=يوقال مەن=P=مەن يەنە=D=يەنە ئەڭ=D=ئەڭ ئۆچ=A=ئۆچ ئارگىنتىينا=N=ئارگىنتىينا يوقالسا=V=يوقال بەك=D=بەك ياخشى=A=ياخشى بولىدۇ=V=بول دە=T=دە
情感分数 = -10.290001	قەشقەر=N=قەشقەر خەلقى=N=خەلق يەنە=D=يەنە 10=N=10 يىلدىن=N=يىل كېيىن=D=كېيىن ئۆزلىرىنىڭ=P=ئۆز شەھەرنىڭ=N=شەھەر كۆزىدىكى=N=كۆز يەرلەرنى=N=يەر مەجبۇرىي=A=مەجبۇر ياكى=R=ياكى ئىختىيارى=N=ئىختىيار ئۆتكۈزۈپ=V=ئۆت بەرگىنىگە=V=بەر پۇشايمان=N=پۇشايمان قىلىدۇ=V=قىل ،=N=، بەرگەن=V=بەر پۇللار=N=پۇل تۈگىگەندە=V=تۈگەش ،=N=، ئۆي=N=ئۆي ئالدىدىكى=N=ئالدى دۇكانلاردىن=N=دۇكان ئايرىلىپ=V=ئايرى تىرىكچىلىك=N=تىرىكچىلىك قىلىش=V=قىل تەسكە=A=تەس چۈشكەندە=V=چۈش زىددىيەت=N=زىددىيەت ئاستا-ئاستا=N=ئاستا-ئاستا ئاشكارلىنىدۇ=N=ئاشكارە .=N=.
情感分数 = -10.290001	يارىنى=N=يار تاتىلىسا=N=تاتىلا ساقايماقتا=N=ساقاي يوق=A=يوق ئەكىسچە=N=ئەكىس يارا=N=يارا يوغىناپ=V=يوغىنا ئەتراپقا=N=ئەتراپ كېڭىيىدۇ=V=كېڭەي ،=N=، شۇنىڭدەك=R=شۇنىڭدەك جەمئىيىتىمىزدىكى=V=جەمئىيەت بەزى=P=بەزى چىركىن=A=چىرك ھادىسىلەرنى=N=ھادىسە كوچىلاۋەرسەك=V=كوچىلا بۇ=P=بۇ ھادىسسىلەر=V=ھادىسە ئازايماستىن=N=ئازايماس ئەكىسچە=N=ئەكىس نەتىجە=N=نەتىجە بېرىدۇ=V=بەر
情感分数 = -10.0	كارتىغۇ=N=كار ئىسىل=N=ئىسىل ئىكەن=V=ئىكەن ،=N=، لېكىن=R=لېكىن سېتۋېلىش=N=سېتۋېلىش جەريانى=N=جەريا بەك=D=بەك ماز=N=ماز ئىكەن=V=ئىكەن .=N=.
情感分数 = -10.0	بەك=D=بەك سەت=A=سەت لاۋزا=A=لاۋزا تىتىقسىز=A=تىتىقسىز كىشىلىرىمىز=N=كىشى بار=A=بار جۇمۇ=P=جۇمۇ
情感分数 = -9.860001	بىلىمسىز=A=بىلىمسىز موللا=N=موللا كىشىلەرنى=N=كىشى "=N=" دىنى=N=دىن خۇراپاتلىق=N=خۇراپات "=N=" پاتقىقىغا=N=پاتقاق سۆرىسە=V=سۆرە ،=N=، بىلىمسىز=A=بىلىمسىز ئوقۇتقۇچى=V=ئوقۇتقۇچى كىشىلەرنى=N=كىشى "=N=" زامانىۋى=A=زامانىۋى خۇراپاتلىق=N=خۇراپات "=N=" پاتقىقىغا=N=پاتقاق سۆرەيدۇ=N=سۆرە .=N=.
情感分数 = -9.860001	ھەي=E=ھەي ،=V=، ئۇلارنىڭ=P=ئۇلار مەھەللە=N=مەھەللە خادىملىرىنى=N=خادىم بولۇپمۇ=R=بولۇپمۇ قىزلارنى=N=قىز ئۆلتۈرگىنى=V=ئۆل ھەقىقەتەن=D=ھەقىقەتەن زوراۋانلىق=N=زوراۋان بوپتۇ=V=بول دەپ=V=دە قارىدىم=V=قارا
情感分数 = -9.860001	ئاتالمىش=N=ئاتالمىش قىش=N=قىش بولمايدىغان=V=بول خاڭجۇنىڭ=N=خاڭجۇ سوغىقى=N=سوغوق تـۆت=N=تـۆت پەسىل=N=پەسىل ئىنىق=N=ئىناق ئايرىلىپ=V=ئايرى تۇرىدىغان=V=تۇر يۇرتۇم=N=يۇرت پوسكامنىڭكىدىن=N=پوسكام يامان=A=يامان ،=N=، يا=N=يا پار=N=پار يوق=A=يوق ،=N=، يا=N=يا ھاۋا=N=ھاۋا تەڭشىگۈچ=N=تەڭشىگۈچ ،=N=، بولمىدى=V=بول بۇ=P=بۇ ،=V=، بۈگۈندىن=N=بۈگۈن باشلاپ=V=باشلا يەنە=D=يەنە ئىككى=M=ئىككى يوتقان=N=يوتقان يىپىنىپ=N=يىپىن ياتمىسام=N=يات ،=V=، خەپ=E=خەپ !=V=!
情感分数 = -9.720001	راكىتاسى=N=راكىتا چۈشۈپ=V=چۈش كەتسە=V=كەت ما=N=ما خوتۇن=N=خوتۇن ئەقلىدىن=N=ئەقىل ئازغان=A=ئازغان ئوخشايدۇ=V=ئوخشا ھەسرەتلىنىپ=V=ھەسرەت ۋارقىراپ=V=ۋارقىرا نېرۋامغا=N=نېرۋا بەك=D=بەك تەگدى=V=تەگ
情感分数 = -9.72	دۈشمەن=N=دۈشمەن ھاقارەتلىسە=N=ھاقارەت ھاقارەتكە=N=ھاقارەت چىدىغاننىڭ=V=چىدا ئۆزى=P=ئۆز شەرەپسىز=V=شەرەپسىز ،=N=، نۇمۇسىسىز=N=نۇمۇسسىز كىشىدۇر=N=كىشى !=N=!
情感分数 = -9.43	بۇ=P=بۇ يىلمۇ=N=يىل تازا=N=تازا ۋاقىراپ=V=ۋارقىرا ئەزمەتلىرىمگە=N=ئەزمەت مەدەت=N=مەدەت بىرەي=V=بەر دىسەم=N=دىسە ،=V=، ھەي=E=ھەي ئەپسۇس=T=ئەپسۇس ،=V=، بۇ=P=بۇ يىللىق=A=يىللىق ب=N=ب دەرجىلىكلەر=N=دەرجىلىك مۇسابىقىسىدە=N=مۇسابىقە شىنجاڭ=N=شىنجاڭ كوماندىسى=N=كوماندا يوقكەن=A=يوق ئەمەسمۇ=T=ئەمەسمۇ
情感分数 = -9.43	ماۋۇ=P=ماۋۇ باھا=N=باھا دېگەن=V=دە خەتنىڭ=N=خەت ئورنىدا=N=ئورنى خاتا=A=خاتا بارمۇ=A=بار قانداق=P=قانداق نەچچە=P=نەچچە ۋاقتى=N=ۋاقت قانداق=P=قانداق ئۇچۇر=N=ئۇچۇر قايتۇرار=V=قايتۇر مەن=P=مەن دەپ=V=دە ئىزدىسەم=V=ئىزدە ماۋۇ=P=ماۋۇ جايغا=N=جاي قىسىلىپ=V=قىس قاپتۇ=V=قال
情感分数 = -9.43	ئۇلار=N=ئۇلار بىزنى=P=بىز غەپلەت=N=غەپلەت ئۇيقۇسىدا=V=ئۇيقۇ بىھۇش=A=بىھۇش قىلىپ=V=قىل ھالاك=N=ھالاك قىلغۇچى=V=قىل قارا=A=قارا نىيەتلىك=N=نىيەت ياۋۇزلاردۇر=N=ياۋۇز .=N=.
情感分数 = -9.43	بالا=N=بالا يۈتتى=N=يۈت دىگەن=V=دە نىدا=N=نىدا ھەممە=P=ھەممە يەردە=N=يەردە ئانا=N=ئانا ئۈچۈن=R=ئۈچۈن قانچە=P=قانچە ئەلەم=N=ئەلەم بۇ=P=بۇ چوڭ=A=چوڭ زەربە=N=زەربە ،=N=، ئۇيقۇ=V=ئۇيقۇ يوققۇ=A=يوق ئۇزۇن-ئۇزۇن=N=ئۇزۇن-ئۇزۇن كېچەلەردە=N=كېچە ،=N=،
情感分数 = -9.43	تۈركىيەدىكى=N=تۈركىيە دەھرىي=N=دەھرىي ئۆكتىچى=A=ئۆكتىچى پارتىيەنى=N=پارتىيە ئىت=N=ئىت دېسەك=V=دە ئىتقا=N=ئىت ئۇۋال=A=ئۇۋال بولغۇدەك=V=بول ئۇلارنىمۇ=P=ئۇلار بەسەي=N=بەسەي دەمدۇق=V=دە يا=E=يا ؟=N=؟
情感分数 = -9.290001	نۇرغۇن=A=نۇرغۇن كىشىلەر=N=كىشى يۇقىرى=A=يۇقىرى قان=N=قان بېسىمنىڭ=N=بېسىم ئالدىنى=N=ئالدى ئېلىۋاتقان=V=ئال كۈنلەردە=N=كۈن تۆۋەن=A=تۆۋەن قان=N=قان بېسىمنىڭ=N=بېسىم دەردىنى=N=دەرد تارتماقتىمەن=V=تارت
